pattern, info, centre, fwhm
1.0, 'SS316L', 4.81421, 0.004853186150335708
1.0, 'SS316L', 5.55904, 0.011755130931764625
1.0, 'SS316L', 7.85882, 0.010854811951076291
1.0, 'SS316L', 9.21197, 0.016185503212230792
1.0, 'SS316L', 9.62327, 0.010434617419788902
1.0, 'SS316L', 12.1077, 0.01621507077988348
1.0, 'SS316L', 12.4211, 0.0213025775824572
2.0, 'SS316L', 4.81516, 0.005041036599878077
2.0, 'SS316L', 5.56089, 0.012247550503444737
2.0, 'SS316L', 7.8585, 0.011119367617145711
2.0, 'SS316L', 9.21531, 0.016182347981045064
2.0, 'SS316L', 9.62246, 0.010782274308014036
2.0, 'SS316L', 11.115, 0.022599586191334283
2.0, 'SS316L', 12.1076, 0.01575561334277187
2.0, 'SS316L', 12.4253, 0.022086791516574063
3.0, 'SS316L', 4.81451, 0.004823991169281959
3.0, 'SS316L', 5.56166, 0.01156700986421856
3.0, 'SS316L', 7.86069, 0.009753008480116721
3.0, 'SS316L', 9.21515, 0.015807023445795647
3.0, 'SS316L', 9.6218, 0.009818939814326291
3.0, 'SS316L', 11.1163, 0.02352883236222204
3.0, 'SS316L', 12.1079, 0.01648471648621932
3.0, 'SS316L', 12.4249, 0.01838905458003505
4.0, 'SS316L', 4.81418, 0.004428860536583912
4.0, 'SS316L', 5.56044, 0.011540881423116125
4.0, 'SS316L', 7.8587, 0.010431685929174088
4.0, 'SS316L', 9.21532, 0.01521857832240362
4.0, 'SS316L', 9.62339, 0.009891933307865655
4.0, 'SS316L', 12.1087, 0.015459216395734008
4.0, 'SS316L', 12.4245, 0.02134620968814389
5.0, 'SS316L', 4.81377, 0.004307166553200646
5.0, 'SS316L', 5.55802, 0.011840399037381696
5.0, 'SS316L', 7.85757, 0.011326285443622994
5.0, 'SS316L', 9.21419, 0.01437105646575551
5.0, 'SS316L', 9.62313, 0.008251815079299948
5.0, 'SS316L', 11.1135, 0.024865517334846408
5.0, 'SS316L', 12.1056, 0.01659599909753646
5.0, 'SS316L', 12.422, 0.021063985332747545
6.0, 'SS316L', 4.81192, 0.004757900061299137
6.0, 'SS316L', 5.55569, 0.010708162287583683
6.0, 'SS316L', 7.85564, 0.010995444528641337
6.0, 'SS316L', 9.21146, 0.015129252935965913
6.0, 'SS316L', 9.62079, 0.009897071397002348
6.0, 'SS316L', 11.1085, 0.021586831641295743
6.0, 'SS316L', 12.1047, 0.016166606845984446
6.0, 'SS316L', 12.42, 0.019235520738638923
8.0, 'SS316L', 4.81534, 0.004791956955202157
8.0, 'SS316L', 5.56522, 0.012498923541218638
8.0, 'SS316L', 7.86174, 0.010927671644189748
8.0, 'SS316L', 9.21799, 0.015705441508315942
8.0, 'SS316L', 9.62527, 0.010100095114030348
8.0, 'SS316L', 11.1202, 0.02529203850403417
8.0, 'SS316L', 12.1101, 0.0173984805493506
8.0, 'SS316L', 12.4291, 0.02183666201984872
9.0, 'SS316L', 4.81439, 0.00445004182826525
9.0, 'SS316L', 5.56053, 0.010978924495287753
9.0, 'SS316L', 7.85959, 0.010736937547631015
9.0, 'SS316L', 9.21472, 0.015454075143716406
9.0, 'SS316L', 9.62479, 0.01058434860687041
9.0, 'SS316L', 11.1155, 0.02156349496233037
9.0, 'SS316L', 12.1074, 0.014243679991425359
9.0, 'SS316L', 12.423, 0.021280014061475807
10.0, 'SS316L', 4.81544, 0.005467157739759328
10.0, 'SS316L', 5.5609, 0.011254092674366487
10.0, 'SS316L', 7.85697, 0.009918435475503619
10.0, 'SS316L', 9.21608, 0.015516570894770315
10.0, 'SS316L', 9.62315, 0.0091865927162829
10.0, 'SS316L', 11.1171, 0.022491347794855406
10.0, 'SS316L', 12.1078, 0.015908433558616986
10.0, 'SS316L', 12.4237, 0.01983120022361501
11.0, 'SS316L', 4.81598, 0.004040862957897772
11.0, 'SS316L', 5.55994, 0.011644185692921142
11.0, 'SS316L', 7.8565, 0.01141299055011125
11.0, 'SS316L', 9.21473, 0.015918331379124927
11.0, 'SS316L', 9.62274, 0.009486042499322993
11.0, 'SS316L', 11.1122, 0.02116739879040519
11.0, 'SS316L', 12.1041, 0.015655646110082175
11.0, 'SS316L', 12.4211, 0.020718920278253113
12.0, 'SS316L', 4.81407, 0.00419082150220101
12.0, 'SS316L', 5.55958, 0.012072675004373697
12.0, 'SS316L', 7.85706, 0.010255326179353277
12.0, 'SS316L', 9.21462, 0.015321996152474171
12.0, 'SS316L', 9.62298, 0.009438027537004859
12.0, 'SS316L', 11.1126, 0.021420870171214967
12.0, 'SS316L', 12.1071, 0.01609782819491285
12.0, 'SS316L', 12.4246, 0.022174447258198074
13.0, 'SS316L', 4.81252, 0.005214336868079231
13.0, 'SS316L', 5.55821, 0.012920943886002657
13.0, 'SS316L', 7.85689, 0.012825796189883444
13.0, 'SS316L', 9.21387, 0.01769078159607238
13.0, 'SS316L', 9.62249, 0.009993721770739967
13.0, 'SS316L', 12.1088, 0.019070519659635157
13.0, 'SS316L', 12.4271, 0.022672622647956015
14.0, 'SS316L', 4.81521, 0.005285458430619839
14.0, 'SS316L', 5.56369, 0.012040722905059704
14.0, 'SS316L', 7.86327, 0.010835545740221334
14.0, 'SS316L', 9.22163, 0.016830108940679298
14.0, 'SS316L', 9.62637, 0.010818990312287094
14.0, 'SS316L', 11.1275, 0.024902272626600712
14.0, 'SS316L', 12.1137, 0.020804572845615727
14.0, 'SS316L', 12.4297, 0.02528936277047344
15.0, 'SS316L', 4.8161, 0.005329194867689709
15.0, 'SS316L', 5.56098, 0.010748746663668719
15.0, 'SS316L', 7.85962, 0.010461399022966588
15.0, 'SS316L', 9.21596, 0.015898244617099395
15.0, 'SS316L', 9.62399, 0.00983090793046919
15.0, 'SS316L', 11.1164, 0.02383683504514698
15.0, 'SS316L', 12.1097, 0.01594696809467653
15.0, 'SS316L', 12.4243, 0.020764936583120307
16.0, 'SS316L', 4.81531, 0.004851182864107361
16.0, 'SS316L', 5.56065, 0.011289775997265378
16.0, 'SS316L', 7.8588, 0.011872960902526744
16.0, 'SS316L', 9.2153, 0.01596928542257396
16.0, 'SS316L', 9.62398, 0.010067336257385167
16.0, 'SS316L', 11.1144, 0.02476129367742217
16.0, 'SS316L', 12.1088, 0.01591639207259697
16.0, 'SS316L', 12.4253, 0.01989455524715765
17.0, 'SS316L', 4.81518, 0.006469750441076558
17.0, 'SS316L', 5.56161, 0.011590413828816874
17.0, 'SS316L', 7.85801, 0.011930170201373016
17.0, 'SS316L', 9.21662, 0.015975360752907376
17.0, 'SS316L', 9.6241, 0.009749193461767081
17.0, 'SS316L', 11.119, 0.022180450778547023
17.0, 'SS316L', 12.1062, 0.0173847333646775
17.0, 'SS316L', 12.4264, 0.01972926524772294
18.0, 'SS316L', 4.81278, 0.005367036508587429
18.0, 'SS316L', 5.5633, 0.014855961668492868
