pattern_number, centre, delta_centre, fwhm, delta_fwhm, left_hwhm, delta_left_hwhm, right_hwhm, delta_right_hwhm, height, delta_height, lshape, delta_lshape, rshape, delta_rshape, info
1, 4.81421, 7.35587e-06, 0.00714797, 1.1071989707265807e-05, 0.00396599, 7.94747e-06, 0.00318198, 7.70887e-06, 952.669, 1.11602, 1.46031, 0.00337261, 1.47222, 0.00411133, 'SS316L'
1, 5.55904, 4.62429e-05, 0.01293651, 6.958202845059923e-05, 0.00710076, 5.04791e-05, 0.00583575, 4.78907e-05, 63.434, 0.216534, 1.44888, 0.0139727, 1.50208, 0.0170948, 'SS316L'
1, 7.85882, 5.04737e-05, 0.01227058, 7.781479126445048e-05, 0.00714391, 5.75448e-05, 0.00512667, 5.23807e-05, 46.7962, 0.190822, 1.41153, 0.0155556, 1.40437, 0.0190869, 'SS316L'
1, 9.21197, 9.79239e-05, 0.017194760000000003, 0.00015320524601005018, 0.00930002, 0.000110766, 0.00789474, 0.000105843, 20.3386, 0.107923, 1.25178, 0.01985, 1.49631, 0.0324385, 'SS316L'
1, 9.62327, 8.00927e-05, 0.01194485, 0.00012634010852714193, 0.00700186, 9.19883e-05, 0.00494299, 8.66024e-05, 20.2983, 0.129755, 1.3124, 0.0245515, 1.32588, 0.0321113, 'SS316L'
1, 11.1124, 0.000960787, 0.0247256, 0.001761337840421309, 0.0135092, 0.00127059, 0.0112164, 0.0012198, 0.774516, 0.0221273, 1.24666, 0.25811, 1.57711, 0.476365, 'SS316L'
1, 12.1077, 0.000127589, 0.01719291, 0.00020247861982194564, 0.00970921, 0.000147534, 0.0074837, 0.000138677, 12.4291, 0.0837066, 1.33466, 0.0323434, 1.3946, 0.0418528, 'SS316L'
1, 12.4211, 0.000381807, 0.022047900000000002, 0.0006501497668545302, 0.0118419, 0.000470354, 0.010206, 0.000448845, 2.47987, 0.0365414, 1.02314, 0.0641743, 1.50504, 0.156587, 'SS316L'
2, 4.81516, 1.1272e-05, 0.00727682, 1.6265964972912e-05, 0.0040213, 1.23293e-05, 0.00325552, 1.06099e-05, 303.529, 0.453993, 1.50903, 0.0056932, 1.57035, 0.00676887, 'SS316L'
2, 5.56089, 1.7578e-05, 0.01338554, 2.61213391425478e-05, 0.00755754, 1.92386e-05, 0.005828, 1.76692e-05, 211.497, 0.283723, 1.40932, 0.0042584, 1.44402, 0.00524429, 'SS316L'
2, 7.8585, 2.94418e-05, 0.012505220000000001, 4.495903055293786e-05, 0.00723716, 3.30175e-05, 0.00526806, 3.05149e-05, 72.7287, 0.17357, 1.38476, 0.00801037, 1.32363, 0.00898035, 'SS316L'
2, 9.21531, 4.61168e-05, 0.01719179, 7.043667311422366e-05, 0.00993714, 5.14752e-05, 0.00725465, 4.80794e-05, 45.127, 0.116023, 1.46337, 0.0109873, 1.45055, 0.0133065, 'SS316L'
2, 9.62246, 7.20163e-05, 0.012249719999999999, 0.0001131318414126191, 0.00672518, 8.2269e-05, 0.00552454, 7.76571e-05, 15.3564, 0.0821172, 1.297, 0.0229159, 1.41685, 0.031436, 'SS316L'
2, 11.115, 0.000181261, 0.0233287, 0.00029741859792050665, 0.0128153, 0.00021507, 0.0105134, 0.000205433, 5.26506, 0.0361615, 1.22912, 0.0347079, 1.37923, 0.0503565, 'SS316L'
2, 12.1076, 6.30259e-05, 0.01676028, 9.966419247312446e-05, 0.00984609, 7.36554e-05, 0.00691419, 6.71404e-05, 23.4436, 0.0855041, 1.24993, 0.0125544, 1.23784, 0.0153136, 'SS316L'
2, 12.4253, 0.000231477, 0.0228065, 0.00039130864680581744, 0.0126898, 0.000286016, 0.0101167, 0.000267053, 3.4169, 0.0305814, 1.0431, 0.0364045, 1.36448, 0.0725271, 'SS316L'
3, 4.81451, 8.82544e-06, 0.00712818, 1.3168634274020218e-05, 0.00386649, 9.66427e-06, 0.00326169, 8.9451e-06, 1377.31, 1.92937, 1.48025, 0.00425586, 1.52348, 0.00508112, 'SS316L'
3, 5.56166, 3.90334e-05, 0.01276581, 5.8029967107521266e-05, 0.00741635, 4.28639e-05, 0.00534946, 3.91173e-05, 163.114, 0.503144, 1.39865, 0.00965573, 1.33741, 0.0107416, 'SS316L'
3, 7.86069, 3.88238e-05, 0.011307580000000001, 5.802522392821935e-05, 0.00650427, 4.21746e-05, 0.00480331, 3.98526e-05, 140.767, 0.492751, 1.39121, 0.0107593, 1.33671, 0.0122184, 'SS316L'
3, 9.21515, 9.43629e-05, 0.01683898, 0.0001449999479108872, 0.00932978, 0.000105271, 0.0075092, 9.97146e-05, 40.7683, 0.220599, 1.2625, 0.0173511, 1.43795, 0.0266625, 'SS316L'
3, 9.6218, 3.31016e-05, 0.01141095, 4.9534350478127806e-05, 0.00652746, 3.66935e-05, 0.00488349, 3.32752e-05, 186.46, 0.558753, 1.40088, 0.00930589, 1.40059, 0.0111963, 'SS316L'
3, 11.1163, 0.00032779, 0.02423, 0.0005309508254537326, 0.014045, 0.000389479, 0.010185, 0.000360853, 6.37471, 0.0753817, 1.44372, 0.0785056, 1.49391, 0.103506, 'SS316L'
3, 12.1079, 0.00019934, 0.01744745, 0.0003259129044668222, 0.0104322, 0.000241043, 0.00701525, 0.000219357, 10.3238, 0.112636, 1.2049, 0.0415057, 1.13758, 0.0470629, 'SS316L'
3, 12.4249, 0.000150003, 0.01924753, 0.00023810937451935825, 0.0105166, 0.000173145, 0.00873093, 0.000163453, 18.9939, 0.141674, 1.17617, 0.0249544, 1.30984, 0.0350887, 'SS316L'
4, 4.81418, 7.56117e-06, 0.00686694, 1.146634754277054e-05, 0.00383164, 8.15904e-06, 0.0030353, 8.0565e-06, 830.658, 1.04975, 1.47837, 0.00373223, 1.45083, 0.00437172, 'SS316L'
4, 5.56044, 3.48041e-05, 0.012742139999999999, 5.309524850398574e-05, 0.00749837, 3.95189e-05, 0.00524377, 3.54593e-05, 91.9578, 0.258581, 1.39754, 0.00933519, 1.33863, 0.0105917, 'SS316L'
4, 7.8587, 5.52433e-05, 0.011897910000000001, 8.575504899147339e-05, 0.00678132, 6.28193e-05, 0.00511659, 5.83752e-05, 37.294, 0.171169, 1.3571, 0.016908, 1.33569, 0.0196768, 'SS316L'
4, 9.21532, 8.39043e-05, 0.01628786, 0.00013124342424536932, 0.00922086, 9.54798e-05, 0.007067, 9.00469e-05, 24.177, 0.118639, 1.2751, 0.0176208, 1.37502, 0.0248233, 'SS316L'
4, 9.62339, 4.81816e-05, 0.01147382, 7.405200425066158e-05, 0.00661952, 5.38775e-05, 0.0048543, 5.08027e-05, 46.6716, 0.1928, 1.35487, 0.0144705, 1.36516, 0.0182608, 'SS316L'
4, 11.1178, 0.00271286, 0.0241576, 0.004912070076342559, 0.0144168, 0.00313893, 0.0097408, 0.0037783, 0.214697, 0.0215858, 1.0, nan, 1.18883, 0.971736, 'SS316L'
4, 12.1087, 7.30526e-05, 0.01648196, 0.00011621944595174253, 0.00993252, 8.68842e-05, 0.00654944, 7.71887e-05, 28.1183, 0.125577, 1.27328, 0.0149303, 1.19526, 0.0168043, 'SS316L'
4, 12.4245, 0.000143767, 0.02209006, 0.00023149544617767322, 0.0127074, 0.000170024, 0.00938266, 0.000157105, 11.7549, 0.0713675, 1.2784, 0.0266116, 1.30908, 0.0337443, 'SS316L'
5, 4.81377, 6.63108e-06, 0.00678909, 9.620281339529525e-06, 0.00392298, 6.62334e-06, 0.00286611, 6.97719e-06, 973.492, 0.994399, 1.49893, 0.00305368, 1.39579, 0.00345225, 'SS316L'
5, 5.55802, 2.0602e-05, 0.013014040000000001, 3.0701152485370965e-05, 0.00745099, 2.26797e-05, 0.00556305, 2.06928e-05, 195.654, 0.318633, 1.43317, 0.00529246, 1.42715, 0.00628334, 'SS316L'
5, 7.85757, 3.85103e-05, 0.012689559999999999, 5.875582266380073e-05, 0.00766938, 4.37953e-05, 0.00502018, 3.91691e-05, 60.2524, 0.180593, 1.37163, 0.00999742, 1.22635, 0.0103293, 'SS316L'
5, 9.21419, 5.22649e-05, 0.01549892, 8.090836619565371e-05, 0.00899503, 5.98803e-05, 0.00650389, 5.44106e-05, 40.6981, 0.134905, 1.34654, 0.0118535, 1.3193, 0.0138866, 'SS316L'
5, 9.62313, 3.23181e-05, 0.01009409, 4.895838701530107e-05, 0.00575979, 3.52417e-05, 0.0043343, 3.39845e-05, 67.5285, 0.213634, 1.25531, 0.0087471, 1.28129, 0.0112957, 'SS316L'
5, 11.1135, 0.000267294, 0.02553, 0.0004400847625367186, 0.0149975, 0.000323029, 0.0105325, 0.000298876, 3.85871, 0.0342079, 1.47374, 0.0702583, 1.50392, 0.0915025, 'SS316L'
5, 12.1056, 9.52065e-05, 0.01755263, 0.00015229384780745414, 0.0102849, 0.000111808, 0.00726773, 0.000103404, 15.1704, 0.0781569, 1.26693, 0.0202225, 1.2535, 0.0246758, 'SS316L'
5, 12.422, 0.000262591, 0.021817459999999997, 0.00044257642764385904, 0.0122803, 0.000323145, 0.00953716, 0.000302409, 3.36413, 0.0354632, 1.11273, 0.0488402, 1.36327, 0.0868063, 'SS316L'
6, 4.81192, 8.47486e-06, 0.0070836200000000005, 1.2760755458553385e-05, 0.00382834, 9.35033e-06, 0.00325528, 8.68379e-06, 703.278, 0.95852, 1.43605, 0.00393098, 1.48451, 0.00472418, 'SS316L'
6, 5.55569, 0.000105703, 0.01199312, 0.00016800624228879117, 0.00664702, 0.000122702, 0.0053461, 0.000114762, 12.9262, 0.105343, 1.3343, 0.0384084, 1.44291, 0.0518126, 'SS316L'
6, 7.85564, 0.000113073, 0.01239516, 0.00017995005452069193, 0.00677697, 0.000129111, 0.00561819, 0.000125349, 11.804, 0.098584, 1.26959, 0.0359232, 1.36204, 0.0479014, 'SS316L'
6, 9.21146, 7.00225e-05, 0.01620443, 0.00010827919005016614, 0.00897463, 7.88876e-05, 0.0072298, 7.41696e-05, 34.1501, 0.142222, 1.29541, 0.0146167, 1.43967, 0.0211158, 'SS316L'
6, 9.62079, 4.37204e-05, 0.01147825, 6.69894655745215e-05, 0.00661178, 4.86914e-05, 0.00486647, 4.6008e-05, 57.1533, 0.217184, 1.31484, 0.0119174, 1.30962, 0.0146648, 'SS316L'
6, 11.1085, 0.000437572, 0.022349010000000002, 0.0007545392952046964, 0.0124306, 0.000547942, 0.00991841, 0.000518738, 2.01523, 0.0328465, 1.18042, 0.0979243, 1.37006, 0.154461, 'SS316L'
6, 12.1047, 9.8879e-05, 0.01714721, 0.00015757000978929969, 0.00978819, 0.000116023, 0.00735902, 0.000106616, 18.4323, 0.102304, 1.24097, 0.0202164, 1.253, 0.0244948, 'SS316L'
6, 12.42, 0.000201588, 0.0200578, 0.0003327931340187174, 0.0111453, 0.000242843, 0.0089125, 0.000227549, 6.2311, 0.0572521, 1.10347, 0.0352713, 1.30373, 0.0572832, 'SS316L'
7, 4.80901, 4.77617e-05, 0.00777333, 7.159627114151965e-05, 0.0043576, 5.28589e-05, 0.00341573, 4.82904e-05, 5.13064, 0.0439707, 1.0, nan, 1.0, nan, 'SS316L'
7, 5.55374, 0.000382902, 0.01357913, 0.0006970788758024445, 0.00754227, 0.000508453, 0.00603686, 0.000476859, 0.839072, 0.0169666, 1.37041, 0.223977, 1.56072, 0.33476, 'SS316L'
7, 7.85096, 0.000964093, 0.01352712, 0.0017636909754262509, 0.00718257, 0.00106402, 0.00634455, 0.00140658, 0.258186, 0.0167459, 1.0, nan, 1.26278, 0.636054, 'SS316L'
7, 9.20948, 0.000474933, 0.02166916, 0.000853422050685357, 0.0126794, 0.00062359, 0.00898976, 0.000582636, 0.852558, 0.0130223, 1.81763, 0.302571, 1.98371, 0.450174, 'SS316L'
7, 9.61844, 0.00179558, 0.01410211, 0.0031963993845575685, 0.00787162, 0.0022882, 0.00623049, 0.00223184, 0.18491, 0.016001, 2.09722, 2.39012, 2.21733, 3.152, 'SS316L'
7, 11.041, 0.00132155, 0.00560435, 0.0029272329574873265, 0.002305, 0.00191057, 0.00329935, 0.00221775, 0.078476, 0.0276181, 1.0, nan, 1.0, nan, 'SS316L'
7, 12.1014, 0.00161143, 0.02060567, 0.002894514039644652, 0.0106268, 0.00206304, 0.00997887, 0.00203029, 0.241224, 0.0132396, 1.52462, 0.810679, 2.13044, 1.69789, 'SS316L'
7, 12.4178, 0.000481473, 0.02233438, 0.0008817248348243345, 0.0129588, 0.000644875, 0.00937558, 0.000601311, 0.807637, 0.012866, 1.43877, 0.190377, 1.53624, 0.265096, 'SS316L'
8, 4.81534, 1.07787e-05, 0.00710654, 1.5150386595163174e-05, 0.00401399, 1.14755e-05, 0.00309255, 9.89177e-06, 568.372, 0.804326, 1.49376, 0.00492315, 1.47935, 0.00546338, 'SS316L'
8, 5.56522, 1.54313e-05, 0.01361592, 2.293466842162755e-05, 0.00821598, 1.71531e-05, 0.00539994, 1.5224e-05, 422.333, 0.511823, 1.50373, 0.00385308, 1.38779, 0.00419031, 'SS316L'
8, 7.86174, 3.25504e-05, 0.01233508, 4.9489398347929024e-05, 0.00720876, 3.69728e-05, 0.00512632, 3.2897e-05, 94.5514, 0.25616, 1.35186, 0.00821278, 1.31466, 0.00956091, 'SS316L'
8, 9.21799, 6.65423e-05, 0.01674366, 0.00010307022227554377, 0.00944112, 7.51083e-05, 0.00730254, 7.05848e-05, 35.3192, 0.136274, 1.27291, 0.0127346, 1.40113, 0.0186202, 'SS316L'
8, 9.62527, 3.49518e-05, 0.011653759999999999, 5.263431167527509e-05, 0.00680431, 3.86852e-05, 0.00484945, 3.56907e-05, 83.2163, 0.245788, 1.33236, 0.00904957, 1.33324, 0.0113826, 'SS316L'
8, 11.1202, 0.000209012, 0.0259456, 0.00033844156910757875, 0.0148687, 0.00024734, 0.0110769, 0.00023101, 7.01388, 0.0502535, 1.39307, 0.0430014, 1.4054, 0.0528246, 'SS316L'
8, 12.1101, 0.000203018, 0.01831324, 0.0003311955599234386, 0.0102454, 0.000240632, 0.00806784, 0.000227567, 5.46437, 0.0530563, 1.30571, 0.0556809, 1.3795, 0.0724595, 'SS316L'
8, 12.4291, 0.000217871, 0.022564349999999997, 0.00036018182569363494, 0.0132556, 0.000265346, 0.00930875, 0.000243562, 5.54036, 0.0484596, 1.2688, 0.0453331, 1.29874, 0.0592918, 'SS316L'
9, 4.81439, 7.10422e-06, 0.0068806200000000005, 1.0778379708031259e-05, 0.00377629, 7.83844e-06, 0.00310433, 7.39813e-06, 910.995, 1.09421, 1.44178, 0.00336945, 1.47637, 0.0041154, 'SS316L'
9, 5.56053, 2.70798e-05, 0.01223548, 4.0706540535889316e-05, 0.00697992, 3.00608e-05, 0.00525556, 2.74476e-05, 143.441, 0.327576, 1.39219, 0.00719758, 1.37988, 0.00839547, 'SS316L'
