patternNumber, centre, deltaCentre, fwhm, deltaFwhm, lhwhm, deltaLhwhm, rhwhm, deltaRhwhm, lshape, deltaLshape, rshape, deltaRshape, info
1.0, 4.81421, 7.35587e-06, 0.00714797, 1.1071989707265807e-05, 0.00396599, 7.94747e-06, 0.00318198, 7.70887e-06, 1.46031, 0.00337261, 1.47222, 0.00411133, 'SS316L'
2.0, 4.81516, 1.1272e-05, 0.00727682, 1.6265964972912e-05, 0.0040213, 1.23293e-05, 0.00325552, 1.06099e-05, 1.50903, 0.0056932, 1.57035, 0.00676887, 'SS316L'
3.0, 4.81451, 8.82544e-06, 0.00712818, 1.3168634274020218e-05, 0.00386649, 9.66427e-06, 0.00326169, 8.9451e-06, 1.48025, 0.00425586, 1.52348, 0.00508112, 'SS316L'
4.0, 4.81418, 7.56117e-06, 0.00686694, 1.146634754277054e-05, 0.00383164, 8.15904e-06, 0.0030353, 8.0565e-06, 1.47837, 0.00373223, 1.45083, 0.00437172, 'SS316L'
5.0, 4.81377, 6.63108e-06, 0.00678909, 9.620281339529525e-06, 0.00392298, 6.62334e-06, 0.00286611, 6.97719e-06, 1.49893, 0.00305368, 1.39579, 0.00345225, 'SS316L'
6.0, 4.81192, 8.47486e-06, 0.00708362, 1.2760755458553383e-05, 0.00382834, 9.35033e-06, 0.00325528, 8.68379e-06, 1.43605, 0.00393098, 1.48451, 0.00472418, 'SS316L'
7.0, 4.80901, 4.77617e-05, 0.00777333, 7.159627114151965e-05, 0.0043576, 5.28589e-05, 0.00341573, 4.82904e-05, 1.0, 0.00492315, 1.0, 0.00546338, 'SS316L'
8.0, 4.81534, 1.07787e-05, 0.00710654, 1.5150386595163174e-05, 0.00401399, 1.14755e-05, 0.00309255, 9.89177e-06, 1.49376, 0.00336945, 1.47935, 0.0041154, 'SS316L'
9.0, 4.81439, 7.10422e-06, 0.00688062, 1.077837970803126e-05, 0.00377629, 7.83844e-06, 0.00310433, 7.39813e-06, 1.44178, 0.00656525, 1.47637, 0.00663225, 'SS316L'
10.0, 4.81544, 1.35989e-05, 0.00757825, 1.8801191182741583e-05, 0.00440744, 1.40467e-05, 0.00317081, 1.2497e-05, 1.62136, 0.00402768, 1.49244, 0.00424563, 'SS316L'
11.0, 4.81598, 9.17241e-06, 0.00662334, 1.247032558245774e-05, 0.00387754, 8.60254e-06, 0.0027458, 9.02803e-06, 1.52638, 0.00404043, 1.36987, 0.00482737, 'SS316L'
12.0, 4.81407, 8.32838e-06, 0.00671588, 1.251780357159354e-05, 0.00373505, 8.73209e-06, 0.00298083, 8.96917e-06, 1.47048, 0.0138465, 1.44703, 0.0173825, 'SS316L'
13.0, 4.81252, 2.91991e-05, 0.00739793, 4.300526747655455e-05, 0.00410616, 3.27308e-05, 0.00329177, 2.78953e-05, 1.44095, 0.00479345, 1.53014, 0.00625695, 'SS316L'
14.0, 4.81521, 1.08112e-05, 0.00744823, 1.5415530965879832e-05, 0.00389833, 1.1371e-05, 0.0035499, 1.04086e-05, 1.46782, 0.0063282, 1.62268, 0.00701123, 'SS316L'
15.0, 4.8161, 1.21694e-05, 0.00747933, 1.7368613349948234e-05, 0.00446766, 1.21349e-05, 0.00301167, 1.24263e-05, 1.651, 0.00493095, 1.4887, 0.00551499, 'SS316L'
16.0, 4.81531, 1.02739e-05, 0.0071466099999999, 1.4553927012325576e-05, 0.00398456, 1.1005e-05, 0.00316205, 9.52401e-06, 1.50415, 0.0115995, 1.5106, 0.0132007, 'SS316L'
17.0, 4.81518, 1.88795e-05, 0.00833053, 2.773734033464636e-05, 0.00474977, 2.0798e-05, 0.00358076, 1.83522e-05, 1.67693, 0.012516, 1.66556, 0.0196536, 'SS316L'
18.0, 4.81278, 3.3546e-05, 0.00750634, 5.0276041678915023e-05, 0.00381816, 3.72867e-05, 0.00368818, 3.37251e-05, 1.18129, 0.0036041, 1.48256, 0.00392535, 'SS316L'
19.0, 4.81491, 7.41685e-06, 0.00700577, 1.084545203797426e-05, 0.00389681, 8.28346e-06, 0.00310896, 7.00058e-06, 1.50007, 0.00487335, 1.48718, 0.00676195, 'SS316L'
20.0, 4.81392, 1.07104e-05, 0.00741055, 1.5818295744169155e-05, 0.00392693, 1.09475e-05, 0.00348362, 1.1418e-05, 1.45271, 0.00354121, 1.58213, 0.00483149, 'SS316L'
21.0, 4.81418, 7.45844e-06, 0.00658413, 1.1393435258059793e-05, 0.00351946, 7.9281e-06, 0.00306467, 8.18264e-06, 1.38903, 0.00548016, 1.4938, 0.0287608, 'SS316L'
22.0, 4.81294, 6.22611e-05, 0.00701257, 9.201215068913454e-05, 0.00347676, 5.11062e-05, 0.00353581, 7.6514e-05, 1.0, 0.00487406, 1.01321, 0.00708449, 'SS316L'
23.0, 4.8135, 1.24742e-05, 0.00748066, 1.8003479319287146e-05, 0.00414553, 1.24714e-05, 0.00333513, 1.29842e-05, 1.47281, 0.00424855, 1.50566, 0.0058763, 'SS316L'
24.0, 4.81338, 1.05251e-05, 0.00707457, 1.458227862098376e-05, 0.00399829, 1.01047e-05, 0.00307628, 1.05137e-05, 1.57594, 0.00564634, 1.53596, 0.00467616, 'SS316L'
25.0, 4.81255, 6.64119e-05, 0.0097884199999999, 9.42449135094303e-05, 0.00501475, 6.80592e-05, 0.00477367, 6.51924e-05, 1.0, 0.005551953750000001, 1.0, 0.00572197, 'SS316L'
26.0, 4.81226, 8.58956e-06, 0.00718259, 1.2641237574070823e-05, 0.00407766, 9.68004e-06, 0.00310493, 8.13005e-06, 1.52907, 0.005551953750000001, 1.49996, 0.0076180792, 'SS316L'
28.0, 4.81113, 1.23617e-05, 0.00776688, 1.8309902304763943e-05, 0.00459933, 1.29596e-05, 0.00316755, 1.29345e-05, 1.53045, 0.005551953750000001, 1.34446, 0.0076180792, 'SS316L'
1.0, 5.55904, 4.62429e-05, 0.01293651, 6.958202845059923e-05, 0.00710076, 5.04791e-05, 0.00583575, 4.78907e-05, 1.44888, 0.0139727, 1.50208, 0.0170948, 'SS316L'
2.0, 5.56089, 1.7578e-05, 0.01338554, 2.61213391425478e-05, 0.00755754, 1.92386e-05, 0.005828, 1.76692e-05, 1.40932, 0.0042584, 1.44402, 0.00524429, 'SS316L'
3.0, 5.56166, 3.90334e-05, 0.01276581, 5.802996710752127e-05, 0.00741635, 4.28639e-05, 0.00534946, 3.91173e-05, 1.39865, 0.00965573, 1.33741, 0.0107416, 'SS316L'
4.0, 5.56044, 3.48041e-05, 0.0127421399999999, 5.309524850398574e-05, 0.00749837, 3.95189e-05, 0.00524377, 3.54593e-05, 1.39754, 0.00933519, 1.33863, 0.0105917, 'SS316L'
