patternNumber, centre, deltaCentre, fwhm, deltaFwhm, lhwhm, deltaLhwhm, rhwhm, deltaRhwhm, lshape, deltaLshape, rshape, deltaRshape, info
1.0, 5.55904, 4.62429e-05, 0.01293651, 6.958202845059923e-05, 0.00710076, 5.04791e-05, 0.00583575, 4.78907e-05, 1.44888, 0.0139727, 1.50208, 0.0170948, 'SS316L'
2.0, 5.56089, 1.7578e-05, 0.01338554, 2.61213391425478e-05, 0.00755754, 1.92386e-05, 0.005828, 1.76692e-05, 1.40932, 0.0042584, 1.44402, 0.00524429, 'SS316L'
3.0, 5.56166, 3.90334e-05, 0.01276581, 5.802996710752127e-05, 0.00741635, 4.28639e-05, 0.00534946, 3.91173e-05, 1.39865, 0.00965573, 1.33741, 0.0107416, 'SS316L'
4.0, 5.56044, 3.48041e-05, 0.0127421399999999, 5.309524850398574e-05, 0.00749837, 3.95189e-05, 0.00524377, 3.54593e-05, 1.39754, 0.00933519, 1.33863, 0.0105917, 'SS316L'
5.0, 5.55802, 2.0602e-05, 0.01301404, 3.0701152485370965e-05, 0.00745099, 2.26797e-05, 0.00556305, 2.06928e-05, 1.43317, 0.00529246, 1.42715, 0.00628334, 'SS316L'
6.0, 5.55569, 0.000105703, 0.01199312, 0.0001680062422887, 0.00664702, 0.000122702, 0.0053461, 0.000114762, 1.3343, 0.0384084, 1.44291, 0.0518126, 'SS316L'
8.0, 5.56522, 1.54313e-05, 0.01361592, 2.293466842162755e-05, 0.00821598, 1.71531e-05, 0.00539994, 1.5224e-05, 1.50373, 0.00385308, 1.38779, 0.00419031, 'SS316L'
9.0, 5.56053, 2.70798e-05, 0.01223548, 4.070654053588932e-05, 0.00697992, 3.00608e-05, 0.00525556, 2.74476e-05, 1.39219, 0.00719758, 1.37988, 0.00839547, 'SS316L'
10.0, 5.5609, 4.59876e-05, 0.01248298, 6.865409432291711e-05, 0.00699868, 5.05013e-05, 0.0054843, 4.65081e-05, 1.39719, 0.0122103, 1.45178, 0.015415, 'SS316L'
11.0, 5.55994, 5.7672e-05, 0.01283578, 8.846144917250678e-05, 0.00727898, 6.44459e-05, 0.0055568, 6.05983e-05, 1.31745, 0.0146937, 1.413, 0.0203896, 'SS316L'
12.0, 5.55958, 7.76717e-05, 0.01322572, 0.00011936286466, 0.00744557, 8.62393e-05, 0.00578015, 8.25244e-05, 1.4888, 0.026957, 1.49804, 0.0324261, 'SS316L'
13.0, 5.55821, 9.59473e-05, 0.01400432, 0.000147927594782, 0.00772897, 0.000107577, 0.00627535, 0.000101537, 1.37689, 0.0280139, 1.65842, 0.0475638, 'SS316L'
14.0, 5.56369, 3.55844e-05, 0.01319656, 5.293166304821718e-05, 0.00700572, 3.82123e-05, 0.00619084, 3.66276e-05, 1.39723, 0.0092729, 1.52651, 0.0121144, 'SS316L'
15.0, 5.56098, 3.6633e-05, 0.01202937, 5.568350636409313e-05, 0.00680136, 4.10976e-05, 0.00522801, 3.75718e-05, 1.36696, 0.0104537, 1.41718, 0.0132354, 'SS316L'
16.0, 5.56065, 1.51034e-05, 0.01251516, 2.237274476612112e-05, 0.0069373, 1.63769e-05, 0.00557786, 1.52426e-05, 1.38557, 0.0037021, 1.42306, 0.00449116, 'SS316L'
17.0, 5.56161, 3.09305e-05, 0.01278702, 4.718930679772696e-05, 0.00737156, 3.47002e-05, 0.00541546, 3.19801e-05, 1.42803, 0.0095004, 1.42275, 0.0114657, 'SS316L'
18.0, 5.5633, 0.000249421, 0.01580727, 0.0004279234991257, 0.00917997, 0.00031472, 0.0066273, 0.000289948, 1.36432, 0.104763, 1.50569, 0.157078, 'SS316L'
19.0, 5.56473, 3.60435e-05, 0.01245916, 5.403925915128741e-05, 0.00705456, 3.91999e-05, 0.0054046, 3.71969e-05, 1.39494, 0.00959656, 1.40816, 0.0117288, 'SS316L'
20.0, 5.5612, 2.35032e-05, 0.0125586999999999, 3.507911530996755e-05, 0.007085, 2.58657e-05, 0.0054737, 2.36962e-05, 1.39409, 0.00612799, 1.4021, 0.00725039, 'SS316L'
21.0, 5.56131, 1.30484e-05, 0.01225714, 1.921355604826967e-05, 0.00700689, 1.42299e-05, 0.00525025, 1.29101e-05, 1.39388, 0.00317717, 1.37226, 0.00366172, 'SS316L'
22.0, 5.56143, 0.000100226, 0.01444256, 0.0001579053939452, 0.00786498, 0.000114149, 0.00657758, 0.000109106, 1.52662, 0.0429261, 1.62364, 0.0546779, 'SS316L'
23.0, 5.56035, 1.69239e-05, 0.013011, 2.512850508605715e-05, 0.00738171, 1.84435e-05, 0.00562929, 1.70669e-05, 1.48234, 0.00463679, 1.46584, 0.00537884, 'SS316L'
24.0, 5.55878, 2.94035e-05, 0.01287252, 4.2809609587100886e-05, 0.00708686, 3.1223e-05, 0.00578566, 2.9288e-05, 1.47235, 0.00783181, 1.55542, 0.0100609, 'SS316L'
25.0, 5.55605, 0.000153323, 0.01989576, 0.000244480114948, 0.0118152, 0.000179546, 0.00808056, 0.000165933, 1.75581, 0.0677132, 1.68471, 0.0787121, 'SS316L'
26.0, 5.55438, 9.67205e-05, 0.01178912, 0.0001486507692681, 0.00653871, 0.00010675, 0.00525041, 0.000103448, 1.42066, 0.0344417, 1.48351, 0.0441034, 'SS316L'
28.0, 5.55739, 2.99123e-05, 0.01453877, 4.494265636085611e-05, 0.00894433, 3.34514e-05, 0.00559444, 3.00141e-05, 1.7138, 0.0104342, 1.52103, 0.0109315, 'SS316L'
