kpos data fit err
3.23423 1.432 4.62129 -3.18929
3.23573 1.50189 4.62129 -3.1194
3.23723 2.01815 4.62129 -2.60314
3.23873 1.65697 4.62129 -2.96432
3.24023 2.01105 4.62129 -2.61024
3.24173 1.78866 4.62129 -2.83263
3.24323 2.29138 4.62129 -2.32991
3.24473 2.6017 4.62129 -2.01959
3.24623 2.63044 4.62129 -1.99085
3.24773 2.57229 4.62129 -2.049
3.24923 2.62733 4.62129 -1.99396
3.25073 2.63083 4.62129 -1.99046
3.25223 3.0791 4.62129 -1.54219
3.25373 3.19228 4.62129 -1.42901
3.25523 3.28454 4.62129 -1.33675
3.25673 3.46405 4.62129 -1.15724
3.25823 2.90608 4.62129 -1.71521
3.25973 3.86889 4.62129 -0.7524
3.26123 3.65469 4.62129 -0.9666
3.26273 4.28027 4.62129 -0.34102
3.26423 4.9067 4.62129 0.28541
3.26573 5.26728 4.62129 0.64599
3.26723 4.40226 4.62129 -0.21903
3.26873 5.19662 4.62129 0.57533
3.27023 5.35928 4.62129 0.73799
3.27173 4.6147 4.62129 -0.00659
3.27323 4.36615 4.62129 -0.25514
3.27473 4.1563 4.62129 -0.46499
3.27623 4.47038 4.62129 -0.15091
3.27773 4.70231 4.62129 0.08102
3.27923 5.08764 4.62129 0.46635
3.28073 4.85208 4.62129 0.23079
3.28223 4.59998 4.62129 -0.02131
3.28373 5.10388 4.62129 0.48259
3.28523 4.84082 4.62129 0.21953
3.28673 4.5194 4.62129 -0.10189
3.28823 4.58236 4.62129 -0.03893
3.28973 4.73568 4.62129 0.11439
3.29123 5.50971 4.62129 0.88842
3.29273 4.62463 4.62129 0.00334
3.29423 4.46154 4.62129 -0.15975
3.29573 4.36217 4.62129 -0.25912
3.29723 5.57772 4.62129 0.95643
3.29873 4.99428 4.62129 0.37299
3.30023 4.99537 4.62129 0.37408
3.30173 4.75652 4.62129 0.13523
3.30323 4.23206 4.62129 -0.38923
3.30473 4.65371 4.62129 0.03242
3.30623 4.63701 4.62129 0.01572
3.30773 5.14088 4.62129 0.51959
3.30923 4.6189 4.62129 -0.00239
3.31073 5.15793 4.62129 0.53664
3.31223 5.45498 4.62129 0.83369
3.31373 4.70071 4.62129 0.07942
3.31523 4.79864 4.62129 0.17735
3.31673 4.81631 4.62129 0.19502
3.31823 4.64899 4.62129 0.0277
3.31973 4.60636 4.62129 -0.01493
3.32123 4.93236 4.62129 0.31107
3.32273 4.6162 4.62129 -0.00509
3.32423 4.18658 4.62129 -0.43471
3.32573 4.55992 4.62129 -0.06137
3.32723 4.59866 4.62129 -0.02263
3.32873 4.58664 4.62129 -0.03465
3.33023 5.00405 4.62129 0.38276
3.33173 4.64646 4.62129 0.02517
3.33323 4.54066 4.62129 -0.08063
3.33473 4.92188 4.62129 0.30059
3.33623 4.87196 4.62129 0.25067
3.33773 5.03665 4.62129 0.41536
3.33923 4.6574 4.62129 0.03611
3.34073 4.9744 4.62129 0.35311
3.34223 4.63446 4.62129 0.01317
3.34373 4.43897 4.62129 -0.18232
3.34523 4.80649 4.62129 0.1852
3.34673 5.08072 4.62129 0.45943
3.34823 4.84734 4.62129 0.22605
3.34973 4.81826 4.62129 0.19697
3.35123 4.67494 4.62129 0.05365
3.35273 4.67518 4.62129 0.05389
3.35423 4.8335 4.62129 0.21221
3.35573 4.94875 4.62129 0.32746
3.35723 5.06924 4.62129 0.44795
3.35873 5.48848 4.62129 0.86719
3.36023 4.99137 4.62129 0.37008
3.36173 4.55605 4.62129 -0.06524
3.36323 5.28776 4.62129 0.66647
3.36473 5.21093 4.62129 0.58964
3.36623 5.60321 4.62129 0.98192
3.36773 5.11021 4.62129 0.48892
3.36923 4.96315 4.62129 0.34186
3.37073 5.07457 4.62129 0.45328
3.37223 4.49432 4.62129 -0.12697
3.37373 5.18332 4.62129 0.56203
3.37523 4.89272 4.62129 0.27143
3.37673 4.29173 4.62129 -0.32956
3.37823 4.37578 4.62129 -0.24551
3.37973 5.12511 4.62129 0.50382
3.38123 4.76704 4.62129 0.14575
3.38273 4.92774 4.62129 0.30645
3.38423 4.28148 4.62129 -0.33981
3.38573 4.57386 4.62129 -0.04743
3.38723 4.90419 4.62129 0.2829
3.38873 4.47422 4.62129 -0.14707
3.39023 4.90292 4.62129 0.28163
3.39173 4.44551 4.62129 -0.17578
3.39323 4.9276 4.62129 0.30631
3.39473 5.76011 4.62129 1.13882
3.39623 5.07114 4.62129 0.44985
3.39773 4.80007 4.62129 0.17878
3.39923 4.86818 4.62129 0.24689
3.40073 4.6293 4.62129 0.00801
3.40223 4.62725 4.62129 0.00596
